player_name,team,position,age,games_played,games_started,passing_yards,passing_tds,interceptions,rushing_atts,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fumbles,fumbles_lost,two_point_conversions,two_point_conversions_passing,fantasy_points_standard,fantasy_points_ppr,position_rank,overall_rank,player_id
Chris Godwin,TAM,WR,27,17,17,0,0,0,4,38,1,130,83,1024,2,0,0,1,0,1260,2092,33,0,GodwCh00
Aidan O'Connell,LVR,QB,25,11,10,2218,12,7,17,11,1,0,0,0,0,4,2,0,0,1260,1258,28,0,OConAi00
Ezekiel Elliott,NWE,RB,28,17,5,0,0,0,184,642,3,65,51,313,2,2,1,0,0,1240,1745,33,0,ElliEz00
Tyler Lockett,SEA,WR,31,17,17,0,0,0,0,0,0,122,79,894,5,0,0,2,0,1230,2024,34,0,LockTy00
Tyler Allgeier,ATL,RB,23,17,3,0,0,0,186,683,4,23,18,193,1,0,0,1,0,1200,1376,34,0,AllgTy00
Zach Wilson,NYJ,QB,24,12,11,2271,8,7,36,211,0,0,0,0,0,11,7,1,1,1200,1199,29,0,WilsZa00
Brandin Cooks,DAL,WR,30,16,15,0,0,0,5,35,0,81,54,657,8,1,0,1,0,1190,1732,35,0,CookBr00
Tank Dell,HOU,WR,24,11,8,0,0,0,11,51,0,75,47,709,7,1,0,0,0,1180,1650,37,0,DellNa00
Garrett Wilson,NYJ,WR,23,17,17,0,0,0,4,0,0,168,95,1042,3,2,2,0,0,1180,2132,36,0,WilsGa00
Gabriel Davis,BUF,WR,24,17,17,0,0,0,1,-2,0,81,45,746,7,1,1,1,0,1160,1614,38,0,DaviGa01
Romeo Doubs,GNB,WR,23,17,16,0,0,0,0,0,0,96,59,674,8,1,0,0,0,1150,1744,39,0,DoubRo00
Kenny Pickett,PIT,QB,25,12,12,2070,6,4,42,54,1,0,0,0,0,2,0,0,0,1100,1102,30,0,PickKe00
Rashid Shaheed,NOR,WR,25,15,8,0,0,0,7,37,0,75,46,719,5,1,1,0,0,1100,1556,40,0,ShahRa00
Rhamondre Stevenson,NWE,RB,25,12,12,0,0,0,156,619,4,51,38,238,0,1,1,0,0,1080,1457,35,0,StevRh00
Mac Jones,NWE,QB,25,11,11,2120,10,12,26,96,0,0,0,0,0,3,2,0,0,1060,1064,31,0,JoneMa05
Aaron Jones,GNB,RB,29,11,11,0,0,0,142,656,2,43,30,233,1,2,1,0,0,1050,1349,36,0,JoneAa00
Cooper Kupp,LAR,WR,30,12,12,0,0,0,1,-3,0,95,59,737,5,0,0,1,0,1050,1644,41,0,KuppCo00
Drake London,ATL,WR,22,16,16,22,0,0,0,0,0,110,69,905,2,0,0,1,0,1050,1744,42,0,LondDr00
Kareem Hunt,CLE,RB,28,15,2,0,0,0,135,411,9,21,15,84,0,0,0,0,0,1040,1185,37,0,HuntKa00
Alexander Mattison,MIN,RB,25,16,13,0,0,0,180,700,0,44,30,192,3,3,2,0,0,1030,1332,38,0,MattAl01
